title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score,compound_score_comm
#162 Build your own 50$ connected Geiger Counter (ESP32),10578,644,9,141,71.55555555555556,12.0,3.0,0.037,0.033,0.93,0.1629,0.0
#CakeSlayer Halloween: SPIDER CAKE | Man About Cake with Joshua John Russell,144769,7789,70,902,111.27142857142857,94.0,22.0,0.142,0.0,0.858,0.8578,0.0
#ConanIsrael Sneak Peek: Gal Gadot - CONAN on TBS,673005,8705,1099,1036,7.920837124658781,94.0,5.0,0.142,0.096,0.762,0.3408,0.0
#IRMAgerd Hurricane Candy and why it's hard to make candy when it rains.,415382,12329,469,1746,26.287846481876333,136.0,2.0,0.0,0.0,1.0,0.0,-0.1027
#WindowsDevDay -  Fluent Design,462552,1507,262,369,5.751908396946565,18.0,14.0,0.199,0.0,0.801,0.357,0.0
"$1,400 WORTH OF MAKEUP! Applying All My High End Makeup!",312064,16937,421,858,40.23040380047506,25.0,0.0,0.142,0.319,0.539,-0.646,0.4968
"$1,700 Apartment Vs. $40,000 Apartment",3369055,64351,2358,5373,27.29050042408821,5.0,0.0,0.0,0.0,1.0,0.0,0.0
"$10,000 DOG VS. $1 DOG",2904352,191585,5570,16423,34.395870736086174,10.0,0.0,0.314,0.071,0.615,0.7579,0.0
"$139 Plane Seat Vs. $24,000 Plane Seat",6734243,136597,7718,11420,17.698497019953354,6.0,0.0,0.0,0.0,1.0,0.0,0.0
$19 Brunch Vs. $113 Brunch,4678213,110685,2294,12165,48.24978204010462,13.0,1.0,0.0,0.0,1.0,0.0,0.0
$3 Ramen Vs. $79 Ramen • Japan,7507261,169333,5801,15570,29.1903120151698,8.0,1.0,0.178,0.0,0.822,0.7777,0.0
$3 Seafood Vs. $213 Seafood • Australia,5027180,110390,2363,12177,46.716038933559034,9854.0,500.0,0.158,0.0,0.842,0.7437,0.0
"$399 Suit Vs. $7,900 Suit",3973184,78945,2909,8227,27.138191818494327,3.0,0.0,0.0,0.0,1.0,0.0,0.0
'Harry Styles' Scares Niall Horan,1918219,58438,861,1692,67.87224157955865,8.0,0.0,0.0,0.0,1.0,0.0,-0.34
'I WILL KNOCK OUT ANTHONY JOSHUA!' - KUBRAT PULEV / AND ROUGHS UP & OFFERS TO FIGHT KUGAN CASSIUS!,137388,974,76,691,12.81578947368421,7.0,1.0,0.0,0.0,1.0,0.0,-0.4912
'Playboy' Founder Hugh Hefner Dead at 91,44935,528,45,569,11.733333333333333,46.0,12.0,0.0,0.0,1.0,0.0,-0.6486
'The Hills' Stars Heidi Montag and Spencer Pratt Welcome a Baby Boy!,4466,54,10,24,5.4,12.0,1.0,0.467,0.0,0.533,0.658,0.5093
(FULL) Canelo Alvarez vs. Gennady Golovkin Weigh-In | ESPN,494594,1757,222,1573,7.914414414414415,12.0,2.0,0.179,0.146,0.674,0.1513,0.0
(FULL) Cavaliers’ Isaiah Thomas press conference | 2017 NBA Media Day | ESPN,181333,1683,60,682,28.05,28.0,1.0,0.464,0.0,0.536,0.7783,0.0
(HD) Frankie Muniz and Witney Carson Foxtrot - Dancing With the Stars Premiere,98194,639,13,106,49.15384615384615,110.0,2.0,0.251,0.0,0.749,0.3987,0.0
(HD) Lindsey Stirling and Mark Ballas Cha-Cha-Cha - Dancing With the Stars Premiere,69075,932,32,164,29.125,172.0,3.0,0.0,0.374,0.626,-0.6566,0.0
(WOW!) MALIGNAGGI REVEALS MCGREGOR FIGHT TALKS HAPPENING: AL HAYMON'S TALKING TO DANA WHITE,34566,129,94,404,1.372340425531915,43.0,1.0,0.0,0.446,0.554,-0.7543,-0.4389
"*NEW* PLAYTESTING MICKEY, MINNIE, AND DONALD",4140,185,3,79,61.666666666666664,15.0,1.0,0.257,0.0,0.743,0.5859,0.0
"1 Million Subscribers, Struggling & STILL Smiling",56164,8211,55,1421,149.29090909090908,2.0,0.0,0.149,0.008,0.843,0.4952,0.0516
"1,000,000 THANK YOU!",284379,52385,268,10735,195.46641791044777,2.0,0.0,0.24559999999999998,0.227,0.5274,0.16366,0.5461
10 EASY MAGIC TRICKS ANYONE CAN DO,5502137,35892,13695,4523,2.6208105147864185,1.0,0.0,0.23511111111111113,0.0901111111111111,0.6747777777777777,0.2071111111111111,0.34
10 Gadgets From Fan Mail put to the Test!,1383791,29058,1026,1458,28.321637426900583,4.0,0.0,0.697,0.0,0.303,0.3182,0.3802
10 Hilarious Thrift Store Items!,2064406,41329,2694,15667,15.341128433556051,1738.0,504.0,0.239,0.0,0.761,0.8772,0.4574
10 Hour Test On These 5 Cult Beauty Buys | Full Face First Impressions | Beauty With Mi,16296,361,32,85,11.28125,24.0,34.0,0.708,0.0,0.292,0.8652,0.8591
10 Kitchen Gadgets put to the Test - Part 18,1525469,28743,1123,4350,25.594835262689227,5.0,0.0,0.0,0.0,1.0,0.0,0.0
10 Kitchen Gadgets put to the Test - part 15,1436461,41660,1121,5323,37.163247100802856,3.0,0.5,0.0805,0.0,0.9195,0.1806,0.0
10 Kitchen Gadgets put to the Test - part 17,1290256,27819,912,2151,30.50328947368421,10.0,1.0,0.0,0.0,1.0,0.0,0.0
10 MINUTE GLAM AF MAKEUP CHALLENGE Ft. NIKKIE TUTORIALS,1304086,76725,2712,7461,28.29092920353982,2592.0,382.0,0.0,0.0,1.0,0.0,0.2577
10 New OREO Flavors!!! Taste Test Challenge-a-thon - Man Vs Youtube,724916,31810,1747,3109,18.208357183743562,955.0,10.0,0.4,0.0,0.6,0.25,0.0
10 Reasons NOT To Buy iPhone X!,4271785,71114,7431,18958,9.569909837168618,14.0,0.0,0.098,0.091,0.81,0.037,0.0
10 Strange Dollar Store Items Sent By Viewers!,1686049,33852,1934,10861,17.50361944157187,1300.0,489.0,0.208,0.143,0.649,0.6761,-0.2714
10 YEAR SURPRISE REACTION | Tyler Oakley,569314,60923,220,6266,276.9227272727273,4.0,0.0,0.2,0.0,0.8,0.6113,0.4278
"10 Years Of ‘Keeping Up With The Kardashians’: Kris Jenner, Kim K Look Back | Megyn Kelly TODAY",1542710,11157,1546,1319,7.2166882276843465,7.0,3.0,0.418,0.0,0.582,0.555,0.0
100 PUPPIES PRANK ON GIRLFRIEND!,1033300,48085,1760,4738,27.321022727272727,12.0,1.0,0.266,0.0,0.734,0.4404,0.0
100 People Tell Us a Secret,746580,21409,265,2448,80.78867924528302,4.0,0.0,0.0,0.0,1.0,0.0,0.0
100 People Tell Us the Worst Thing They've Ever Done,937156,21764,625,3396,34.8224,7.0,1.0,0.0,0.364,0.636,-0.9344,-0.6249
100 TUBES of MASCARA - Faves & Hates - MAKEUP GRAVEYARD,583725,25313,647,4413,39.123647604327665,2.0,0.0,0.2966666666666667,0.0,0.7033333333333335,0.6291333333333333,-0.7034
100% PURE UNCUT HOLO *not drugz* *for nails*,2075037,90494,1488,11800,60.81586021505376,23295.0,366.0,0.0,0.0,1.0,0.0,0.0
112 - Dangerous Games,17091,747,9,112,83.0,42.0,0.0,0.0,0.0,1.0,0.0,-0.4767
12 STRONG - Official Trailer,2576398,17999,1551,2538,11.604771115409413,2.0,0.0,0.1315,0.1985,0.6705,-0.28945,0.6166
"16-Year-Old Girl Sings The Most Difficult Opera Song Ever, Nails It",628368,7859,317,505,24.79179810725552,957.0,30.0,0.0,0.0,1.0,0.0,-0.4201
19 ASMR Triggers | CHRIS & BRITTANY,83448,5278,233,302,22.65236051502146,191.0,1.0,0.409,0.0,0.591,0.886,0.0
1922 | Official Trailer [HD] | Netflix,1354359,14872,615,1281,24.182113821138213,8.0,0.0,0.51,0.0,0.49,0.743,0.0
2. Keaton (2007),7985,78,1,3,78.0,2.0,0.0,0.3125,0.109,0.5785,0.324,0.0
