channel_title,views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
LegallyArmedAmerica,907723.0,5806.0,4823.0,5619.0,1.2038150528716636,0.0725,0.055,0.10750500000000004,0.17031499999999997,0.7221650000000005,-0.2652782499999999
The Daily Show with Trevor Noah,3690455.0,61549.0,9201.0,13333.0,6.689381588957641,0.09348914858096828,0.05509181969949917,0.10287646076794663,0.18238731218697826,0.714737896494157,-0.26112687813021707
ProPublica,14375.0,117.0,46.0,123.0,2.5434782608695636,8.283018867924529,1.7169811320754718,0.10190566037735849,0.2587735849056604,0.6392264150943395,-0.2548264150943396
CNN,157909.8261530664,1158.7095793208312,1674.3502280790674,2682.59401926001,1.7407004592954447,1.1282311201216422,0.4272681196147998,0.1064896097313736,0.19682412569690858,0.6961809427268122,-0.1778685757729345
Courageous Conservatives PAC,318780.0,1228.0,4501.0,1363.0,0.27282826038657815,0.32,0.07,0.08458599999999997,0.20754199999999992,0.7039119999999992,-0.16627279999999992
ABC News,175314.85109060403,907.415687919463,625.1430369127517,1630.7386744966443,5.251069607700596,1.6019295302013423,0.6925335570469798,0.10455536912751659,0.17898909395973173,0.7156300335570485,-0.16346044463087206
Cardi B,820895.0,19063.0,1895.0,2093.0,10.059630606860102,0.836,0.084,0.08720599999999998,0.13700199999999998,0.7757960000000005,-0.07336420000000006
MILO,283819.0,20888.0,511.0,3837.0,40.876712328767105,0.07,0.035,0.12857999999999994,0.147355,0.7240700000000002,-0.073222
WatchMojo.com,1167534.4,20801.4,712.8,2093.4,28.21473499361452,0.302,0.042,0.10379799999999997,0.12146599999999999,0.7687339999999995,-0.0238274
Logan Paul Vlogs,11622767.142857144,674385.0,59566.0,83720.57142857143,13.303651356816834,0.235,0.03,0.16975500000000002,0.11309214285714286,0.7150149999999998,0.07679071428571418
