views,likes_x,dislikes,comment_total,L/D,likes_y,replies,poitive_score,negative_score,neutral_score,compound_score
1319945,38949,533,6768,73.07504690431512,0.19,0.01,0.09209999999999999,0.08911,0.8188100000000001,0.045047000000000025
189414,7070,112,288,63.125,8.74,0.22,0.16312,0.07554999999999998,0.7613499999999999,0.20094200000000004
2143,16,2,4,8.0,0.5,0.0,0.037,0.1465,0.8165,-0.198075
201901,10034,148,591,67.79729729729729,,,0.0,0.0,1.0,0.0
85052,1458,97,132,15.030927835051555,7.373134328358209,0.582089552238806,0.19617910447761192,0.09274626865671642,0.7111044776119404,0.14375223880597016
1956813,49656,1287,6894,38.58275058275091,0.095,0.0025,0.20816500000000002,0.04664000000000001,0.7451900000000002,0.24899249999999998
334715,1742,62,279,28.096774193548313,23.49484536082474,2.027491408934708,0.14710652920962192,0.10261168384879724,0.7502852233676969,0.09571030927835047
211177,16675,417,2539,39.988009592325746,3.648,0.158,0.20914399999999994,0.09087400000000004,0.7000079999999996,0.1955297999999997
45580,2348,41,504,57.26829268292697,0.075,0.025,0.27968999999999994,0.07486999999999999,0.6353949999999999,0.2949564999999999
98617,332,21,269,15.809523809523846,4.3247863247863245,2.3803418803418803,0.1726025641025641,0.012512820512820513,0.8148675213675212,0.2886863247863247
417140,13266,102,519,130.05882352941248,15.6625,0.755,0.13076750000000004,0.09290749999999993,0.7763325000000004,0.040326000000000015
2576398,17999,1551,2538,11.60477111540935,0.12,0.02666666666666667,0.1326,0.14194999999999994,0.725466666666667,-0.05594333333333335
218853,9184,164,896,56.0,0.05,0.0,0.11538,0.11058000000000001,0.7740399999999998,-0.01868300000000001
2631,1,2,0,0.5,,,0.0,0.0,1.0,0.0
3908558,130883,10147,8631,12.898689267763972,0.15714285714285714,0.01,0.1831314285714287,0.0906357142857143,0.7248271428571412,0.12741999999999967
51931,2893,66,320,43.83333333333348,3.6375,0.1,0.3019225,0.03087499999999999,0.6672025000000004,0.39623175000000027
3101709,19954,773,6239,25.813712807244542,0.135,0.015,0.17988000000000004,0.11701499999999995,0.703115,0.09112399999999997
62600,4715,29,483,162.58620689655118,1.89,0.5366666666666666,0.32000333333333336,0.01754666666666667,0.6524299999999997,0.466892
937156,21764,625,3396,34.82240000000001,0.185,0.015,0.10053500000000003,0.17055999999999993,0.723905,-0.16384050000000006
936084,41787,255,4821,163.87058823529478,0.105,0.015,0.07864499999999999,0.0030275000000000002,0.915825,0.12711550000000002
12305,404,16,14,25.25,2.7027027027027026,0.02702702702702703,0.2846486486486486,0.011270270270270272,0.7040810810810811,0.3139135135135136
